,id,Star_name_x,Distance_x,Mass_x,Radius_x,Star_name_y,Distance_y,Mass_y,Radius_y,Luminosity
52,66,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998,R Doradus,0178,0.7 - 1.0,298,"4,350"
53,67,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,Polaris Australis,0281,1.59,3.74,38
54,70,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173536999999999,Mira,0300,1.2,370,"9,000"
55,71,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,RW Cephei,"014,000",13.9,"1,158","417,000"
56,72,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115,Lacaille 8760,012.87,0.6,0.51,0.072
57,74,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,HD 140283,0190,?,1.4,3.83
58,75,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999,II Pegasi,0130,0.8,3.4,1.06
59,76,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
60,77,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998,Pistol Star,"025,000",100,320,"1,700,000"
61,78,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998,S Doradus,"0169,000",24,380,"910,000"
62,80,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,Barnard's Star,05.98,0.14,0.20,0.0035
63,81,2MASS J07522390+1612157,60.0,0.191872188,6.987883999999999,Luhman 16,06.52,0.04,?,?
64,82,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998,Proxima Centauri,04.25,0.12,0.15,0.0017
65,85,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999,Melnick 42,"0163,000",189,21.1,"3,600,000"
66,86,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999,WR 102,"018,134",19,0.39,"282,000"
67,87,LHS 2021,55.0,0.084003744,0.11817744999999999,VFTS 352,"0164,000",57.48,14.47,"330,000"
68,88,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999,YBP 1194,"02,772",1.01,0.99,0.98
69,89,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,Gliese 1214,047.5,0.16,0.21,0.0033
70,90,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
71,91,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,VB 10,018.72,0.075,0.10,0.0004
72,92,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
73,94,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998,2MASS J0523-1403,040.3,0.07,0.086,0.00013
74,95,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999,WISE 0855−0714,07.27,0.003,?,?
75,96,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999,Icarus,"014,400,000,000",33,?,"850,000"
